code,number_occurrences,root,description
ببغيهم,1,بغي,"pour leur rébellion,"
أبغى,1,بغي,je cherche
وتبغونها,1,بغي,et cherchant à la rendre
أبغيكم,1,بغي,que je devrais recherchez pour vous
يبغونكم,1,بغي,"""Non traduit pour le moment"""
ابتغوا,1,بغي,"""Non traduit pour le moment"""
بغيكم,1,بغي,votre transgression 
نبغى,1,بغي,"""Non traduit pour le moment"""
لابتغوا,1,بغي,"""Non traduit pour le moment"""
نبغ,1,بغي,"""Non traduit pour le moment"""
البغاء,1,بغي,"""Non traduit pour le moment"""
نبتغى,1,بغي,"""Non traduit pour le moment"""
فبغى,1,بغي,"""Non traduit pour le moment"""
تبغ,1,بغي,"""Non traduit pour le moment"""
فابتغوا,1,بغي,"""Non traduit pour le moment"""
وابتغاؤكم,1,بغي,"""Non traduit pour le moment"""
ابتغيت,1,بغي,"""Non traduit pour le moment"""
ليبغى,1,بغي,"""Non traduit pour le moment"""
لبغوا,1,بغي,"""Non traduit pour le moment"""
البغى,1,بغي,"""Non traduit pour le moment"""
ويبغون,1,بغي,"""Non traduit pour le moment"""
بغت,1,بغي,"""Non traduit pour le moment"""
تبغى,1,بغي,"""Non traduit pour le moment"""
يبغيان,1,بغي,toutes deux outrepassent.
بقرة,4,بقر,"une vache""."
البقر,3,بقر,les vaches
بقرت,2,بقر,"""Non traduit pour le moment"""
البقعة,1,بقع,"""Non traduit pour le moment"""
بقلها,1,بقل,ses légumes
وأبقى,7,بقي,et éternel.
والبقيت,2,بقي,"""Non traduit pour le moment"""
الباقين,2,بقي,"""Non traduit pour le moment"""
باقية,2,بقي,reliquats
وبقية,1,بقي,ainsi que les reliques
بقى,1,بقي,subsiste
بقيت,1,بقي,"""Non traduit pour le moment"""
بقية,1,بقي,"""Non traduit pour le moment"""
باق,1,بقي,"""Non traduit pour le moment"""
أبقى,1,بقي,"""Non traduit pour le moment"""
ويبقى,1,بقي,Et subsiste
تبقى,1,بقي,il conserve
بكرة,7,بكر,matin
والإبكر,2,بكر,"et de bonne heure."""
بكر,1,بكر,jeune.
أبكارا,1,بكر,"""Non traduit pour le moment"""
وأبكارا,1,بكر,ou vierges.
ببكة,1,بكك,"de Bacca,"
بكم,37,بكم,"muet,"
وبكم,1,بكم,"et muets,"
البكم,1,بكم,"les muets,"
أبكم,1,بكم,"""Non traduit pour le moment"""
وبكما,1,بكم,"""Non traduit pour le moment"""
يبكون,2,بكي,"""Non traduit pour le moment"""
وليبكوا,1,بكي,"""Non traduit pour le moment"""
وبكيا,1,بكي,"""Non traduit pour le moment"""
بكت,1,بكي,"""Non traduit pour le moment"""
وأبكى,1,بكي,"""Non traduit pour le moment"""
تبكون,1,بكي,"""Non traduit pour le moment"""
بل,127,بل,En fait
البلد,9,بلد,la contrée.
بلدة,4,بلد,une contrée
بلد,2,بلد,"""Non traduit pour le moment"""
بلدا,1,بلد,cité
لبلد,1,بلد,pour une contrée
والبلد,1,بلد,Et quant à la contrée
البلدة,1,بلد,"""Non traduit pour le moment"""
مبلسون,3,بلس,complètement abasourdis.
يبلس,1,بلس,"""Non traduit pour le moment"""
لمبلسين,1,بلس,"""Non traduit pour le moment"""
إبليس,9,بلس-إبليس,"Satan,"
يإبليس,2,بلس-إبليس,"""Non traduit pour le moment"""
ابلعى,1,بلع,"""Non traduit pour le moment"""
بلغ,14,بلغ,Transmets
البلغ,11,بلغ,la transmission de l'information.
يبلغ,5,بلغ,"ait atteint,"
بلغت,5,بلغ,sera atteint
أبلغتكم,3,بلغ,Je vous ai transmis
فبلغن,2,بلغ,et qu'elles atteignent
بلغن,2,بلغ,elles atteignent
بلغوا,2,بلغ,ils atteignent
أبلغكم,2,بلغ,Je vous transmets
أبلغ,2,بلغ,"""Non traduit pour le moment"""
بلغا,2,بلغ,en transmettant une communication 
لتبلغوا,2,بلغ,"""Non traduit pour le moment"""
ولتبلغوا,2,بلغ,"""Non traduit pour le moment"""
بلغة,2,بلغ,avec le strict nécessaire
بلغنى,1,بلغ,m'a atteint
بليغا,1,بلغ,persuasives.
وبلغنا,1,بلغ,et nous avons atteint
البلغة,1,بلغ,concluant!
بلغوه,1,بلغ,"l'atteignaient,"
أبلغه,1,بلغ,"""Non traduit pour le moment"""
ليبلغ,1,بلغ,"""Non traduit pour le moment"""
ببلغه,1,بلغ,"""Non traduit pour le moment"""
بلغيه,1,بلغ,"""Non traduit pour le moment"""
يبلغن,1,بلغ,"""Non traduit pour le moment"""
تبلغ,1,بلغ,"""Non traduit pour le moment"""
يبلغا,1,بلغ,"""Non traduit pour le moment"""
لبلغا,1,بلغ,"""Non traduit pour le moment"""
يبلغوا,1,بلغ,"""Non traduit pour le moment"""
وبلغت,1,بلغ,"""Non traduit pour le moment"""
يبلغون,1,بلغ,"""Non traduit pour le moment"""
ببلغيه,1,بلغ,"""Non traduit pour le moment"""
وبلغ,1,بلغ,et atteint
وأبلغكم,1,بلغ,"""Non traduit pour le moment"""
مبلغهم,1,بلغ,"""Non traduit pour le moment"""
أبلغوا,1,بلغ,Ils ont transmis 
بلاء,4,بلو,un test
ليبلوكم,4,بلو,Il vous met ainsi à l'épreuve
ابتلى,2,بلو,fût éprouvé
ولنبلونكم,2,بلو,"Et certainement, Nous vous testerons"
ابتلىه,2,بلو,l'éprouve
مبتليكم,1,بلو,vous met à l'épreuve
ليبتليكم,1,بلو,pour vous tester.
وليبتلى,1,بلو,Et ceci pour que teste
لتبلون,1,بلو,Vous serez certainement testés
وابتلوا,1,بلو,Et vous testerez
ليبلونكم,1,بلو,vous testera surement
نبلوهم,1,بلو,Nous les testons
وبلونهم,1,بلو,Et Nous les avons testés
وليبلى,1,بلو,Et afin d'expérimenter
تبلوا,1,بلو,éprouvera
يبلوكم,1,بلو,"""Non traduit pour le moment"""
لنبلوهم,1,بلو,"""Non traduit pour le moment"""
ونبلوكم,1,بلو,"""Non traduit pour le moment"""
لمبتلين,1,بلو,"""Non traduit pour le moment"""
ليبلونى,1,بلو,"""Non traduit pour le moment"""
البلؤا,1,بلو,"""Non traduit pour le moment"""
بلؤا,1,بلو,"""Non traduit pour le moment"""
ليبلوا,1,بلو,"""Non traduit pour le moment"""
ونبلوا,1,بلو,"""Non traduit pour le moment"""
بلونهم,1,بلو,les avons éprouvés
بلونا,1,بلو,nous avons éprouvé
نبتليه,1,بلو,nous le testons.
تبلى,1,بلو,seront examinés
بلى,22,بلى,"Mais au contraire,"
يبلى,1,بلي,"""Non traduit pour le moment"""
بنان,1,بنن,phalange distale.
بنانه,1,بنن,le bout de son doigt.
بنى,31,بنو,des enfants
ابن,28,بنو,fils de
يبنى,20,بنو,Oh! Enfants d'
وابن,8,بنو,et à ceux issu de
وبنات,6,بنو,et les filles
وبنين,6,بنو,et des fils
أبناءهم,5,بنو,leurs enfants.
لبنى,5,بنو,pour les descendants d'
أبناءكم,4,بنو,vos fils
أبناء,4,بنو,"""Non traduit pour le moment"""
بناء,3,بنو,une structure.
بنين,3,بنو,des fils
وأبناؤكم,2,بنو,"et vos enfants,"
ابنى,2,بنو,des deux fils d'
ببنى,2,بنو,avec les descendants d'
بنينه,2,بنو,"""Non traduit pour le moment"""
بنينهم,2,بنو,"""Non traduit pour le moment"""
بنوا,2,بنو,"""Non traduit pour le moment"""
بناتى,2,بنو,"""Non traduit pour le moment"""
البنت,2,بنو,"""Non traduit pour le moment"""
بالبنين,2,بنو,"""Non traduit pour le moment"""
ابنوا,2,بنو,"""Non traduit pour le moment"""
بنينا,2,بنو,"""Non traduit pour le moment"""
أبنائهن,2,بنو,"""Non traduit pour le moment"""
البنات,2,بنو,"""Non traduit pour le moment"""
البنون,2,بنو,"""Non traduit pour le moment"""
بنينها,2,بنو,nous l'avons édifié
بنيه,1,بنو,ses fils
لبنيه,1,بنو,à ses enfants :
وأبنائنا,1,بنو,"ainsi que nos parents?"""
والبنين,1,بنو,et les enfants
أبناءنا,1,بنو,nos enfants
وأبناءكم,1,بنو,"et vos enfants,"
وبناتكم,1,بنو,"et vos filles,"
أبنائكم,1,بنو,"vos fils,"
أبنؤا,1,بنو,les enfants de
وبنت,1,بنو,et des filles
ابنه,1,بنو,"""Non traduit pour le moment"""
بناتك,1,بنو,"""Non traduit pour le moment"""
ابنك,1,بنو,"""Non traduit pour le moment"""
وبنى,1,بنو,"""Non traduit pour le moment"""
والبنون,1,بنو,"""Non traduit pour le moment"""
يبنؤم,1,بنو,"""Non traduit pour le moment"""
وابنها,1,بنو,"""Non traduit pour le moment"""
بنون,1,بنو,"""Non traduit pour le moment"""
أتبنون,1,بنو,"""Non traduit pour le moment"""
ابنتى,1,بنو,"""Non traduit pour le moment"""
لابنه,1,بنو,"""Non traduit pour le moment"""
وبناتك,1,بنو,"""Non traduit pour le moment"""
البنين,1,بنو,"""Non traduit pour le moment"""
مبنية,1,بنو,construits.
بنات,1,بنو,"""Non traduit pour le moment"""
ابنت,1,بنو,la fille d'
ببنيه,1,بنو,par le biais de ses enfants.
وبنينا,1,بنو,Et Nous avons construit
وبنيه,1,بنو,ainsi que ses enfants.
بنىها,2,بني,qu'Il a construit?
بهتنا,4,بهت,en duperie
فبهت,1,بهت,Alors fut déconcerté
فتبهتهم,1,بهت,"""Non traduit pour le moment"""
بهتن,1,بهت,"""Non traduit pour le moment"""
ببهتن,1,بهت,avec une calomnie
بهيج,2,بهج,splendeur
بهجة,1,بهج,"""Non traduit pour le moment"""
نبتهل,1,بهل,nous prions humblement
بهيمة,3,بهم,les animaux
وباءو,2,بوأ,et ils ont attiré sur eux-mêmes
باء,2,بوأ,encoure
بوأنا,2,بوأ,"""Non traduit pour le moment"""
لنبوئنهم,2,بوأ,"""Non traduit pour le moment"""
فباءو,1,بوأ,Alors ils ont attiré sur eux
تبوئ,1,بوأ,pour assigner
تبوأ,1,بوأ,tu subsiste
وبوأكم,1,بوأ,et vous a établi
تبوءا,1,بوأ,"""Non traduit pour le moment"""
مبوأ,1,بوأ,"""Non traduit pour le moment"""
يتبوأ,1,بوأ,"""Non traduit pour le moment"""
نتبوأ,1,بوأ,nous pouvons séjourner
تبوءو,1,بوأ,ont établi
أبوب,8,بوب,les portes de
الباب,6,بوب,le portail
باب,4,بوب,une porte
أبوبها,3,بوب,leurs portes.
الأبوب,2,بوب,"""Non traduit pour le moment"""
بابا,2,بوب,"""Non traduit pour le moment"""
أبوبا,2,بوب,des portes.
بورا,2,بور,"""Non traduit pour le moment"""
البوار,1,بور,"""Non traduit pour le moment"""
يبور,1,بور,"""Non traduit pour le moment"""
تبور,1,بور,"""Non traduit pour le moment"""
بال,2,بول,"""Non traduit pour le moment"""
بالهم,2,بول,"""Non traduit pour le moment"""
به,327,بي,par cela
بها,79,بي,en elles
بهم,41,بي,d'eux
بى,12,بي,en moi
بك,10,بي,"en toi,"
وبما,6,بي,et selon ce que
بنا,4,بي,"""Non traduit pour le moment"""
بهما,3,بي,de tous deux
بهن,3,بي,avec elles ;
وبه,2,بي,et par cela
فبم,1,بي,"""Non traduit pour le moment"""
بم,1,بي,"""Non traduit pour le moment"""
البيت,12,بيت,de l'oasis
بيوت,10,بيت,maisons / constructions
بيوتا,9,بيت,en constructions (troglodytes).
بيوتكم,6,بيت,vos maisons.
بيت,5,بيت,sanctuaire
بيتا,5,بيت,"de nuit,"
البيوت,4,بيت,les demeures
بيتى,3,بيت,ma maison
يبيتون,3,بيت,Ils hébergent en eux
بيتك,2,بيت,ta maison
بيوتهم,2,بيت,leurs constructions
بيوتكن,2,بيت,"""Non traduit pour le moment"""
بيته,1,بيت,sa maison
بيتها,1,بيت,"""Non traduit pour le moment"""
بالبيت,1,بيت,"""Non traduit pour le moment"""
لنبيتنه,1,بيت,"""Non traduit pour le moment"""
لبيت,1,بيت,"""Non traduit pour le moment"""
بيوتنا,1,بيت,"""Non traduit pour le moment"""
لبيوتهم,1,بيت,"""Non traduit pour le moment"""
ولبيوتهم,1,بيت,"""Non traduit pour le moment"""
والبيت,1,بيت,"""Non traduit pour le moment"""
بيوتهن,1,بيت,"leurs maisons,"
تبيد,1,بيد,"""Non traduit pour le moment"""
بيضاء,6,بيض,blanche
بيض,2,بيض,"""Non traduit pour le moment"""
الأبيض,1,بيض,blanc
تبيض,1,بيض,s'éclairciront
ابيضت,1,بيض,s'est éclairci
وابيضت,1,بيض,"""Non traduit pour le moment"""
بيع,3,بيع,négociation
البيع,3,بيع,le commerce
يبايعونك,2,بيع,"""Non traduit pour le moment"""
تبايعتم,1,بيع,vous faites des transactions commerciales.
ببيعكم,1,بيع,"""Non traduit pour le moment"""
بايعتم,1,بيع,"""Non traduit pour le moment"""
وبيع,1,بيع,"""Non traduit pour le moment"""
يبايعون,1,بيع,"""Non traduit pour le moment"""
يبايعنك,1,بيع,traitant avec toi et s'engageant
فبايعهن,1,بيع,alors accepte leur traité
مبين,84,بين,manifeste.
بين,80,بين,d'entre
بينهم,58,بين,entre eux
بينهما,31,بين,"entre eux deux,"
بينكم,29,بين,entre vous
بالبينت,24,بين,avec les miracles transcendants
المبين,22,بين,explicite.
يبين,17,بين,qu'il clarifie
بينت,17,بين,tellement évidentes
بيننا,17,بين,entre nous
بينة,14,بين,transcendant.
مبينا,13,بين,manifeste?
البينت,11,بين,les miracles transcendants
بينى,11,بين,entre moi
تبين,10,بين,soit devenu évident
وبينكم,10,بين,et entre vous :
وبين,9,بين,et entre
وبينهم,6,بين,et entre eux
وبينك,5,بين,et entre toi
بينا,3,بين,nous rendons évident
بينه,3,بين,nous l'ayons clarifié
يتبين,3,بين,devienne distinct
وبينه,3,بين,et entre cela
مبينة,3,بين,prouvé.
ليبين,3,بين,qu'il clarifie les choses
فتبينوا,3,بين,alors soyez éclairés
مبينت,3,بين,"clairement,"
ويبين,2,بين,Et Il clarifie
بينها,2,بين,entre elle
ببينة,2,بين,avec une preuve évidente
لتبين,2,بين,"""Non traduit pour le moment"""
بينك,2,بين,"""Non traduit pour le moment"""
البينة,2,بين,la preuve explicite.
وبينوا,1,بين,et proclament ouvertement
وبينت,1,بين,et des éléments explicites
يبينها,1,بين,Il les explique
بيان,1,بين,une proclamation
لتبيننه,1,بين,"""Vous devrez assurément la proclamer explicitement"
نبين,1,بين,nous expliquons clairement
ولتستبين,1,بين,et afin que devienne manifeste
ولنبينه,1,بين,et que nous l'explicitions
وبينهما,1,بين,Et entre eux deux
وتبين,1,بين,"""Non traduit pour le moment"""
تبينا,1,بين,"""Non traduit pour le moment"""
وليبينن,1,بين,"""Non traduit pour le moment"""
لنبين,1,بين,"""Non traduit pour le moment"""
تبينت,1,بين,"""Non traduit pour le moment"""
المستبين,1,بين,"""Non traduit pour le moment"""
ولأبين,1,بين,"""Non traduit pour le moment"""
البيان,1,بين,la déduction explicite.
بينهن,1,بين,entres eux
بيانه,1,بين,son explicitation.
التابوت,2,تابوت,"l'Arche de l'Alliance,"
تبت,4,تبب,me repens
تتبيب,1,تبب,"""Non traduit pour le moment"""
تباب,1,تبب,"""Non traduit pour le moment"""
تتبيرا,2,تبر,"""Non traduit pour le moment"""
متبر,1,تبر,est en péril
وليتبروا,1,تبر,"""Non traduit pour le moment"""
تبرنا,1,تبر,"""Non traduit pour le moment"""
تبارا,1,تبر,en perdition.
اتبعوا,12,تبع,ont été suivis
واتبعوا,11,تبع,Et ils ont suivi
اتبع,10,تبع,poursuit
يتبعون,9,تبع,font suivre
واتبع,9,تبع,et suit
تتبع,8,تبع,tu suives
تتبعوا,8,تبع,suivez
أتبع,7,تبع,je suis
يتبع,5,تبع,suit
تبع,4,تبع,suivent
نتبع,4,تبع,nous suivons
اتبعك,4,تبع,te suit
اتبعت,3,تبع,tu suis
اتبعوه,3,تبع,le suivent
تتبعون,3,تبع,vous suivez
فاتبعوه,3,تبع,alors suivez-le.
تبعك,3,تبع,te suivra
فأتبعه,3,تبع,et donc le poursuivit
بتابع,2,تبع,un suiveur de
فيتبعون,2,تبع,alors ils poursuivront
فاتبعونى,2,تبع,"alors suivez-moi"""
فاتبعوا,2,تبع,alors suivez
متتابعين,2,تبع,consécutifs
ويتبع,2,تبع,et suit
فأتبعهم,2,تبع,"""Non traduit pour le moment"""
وأتبعوا,2,تبع,"""Non traduit pour le moment"""
تبعا,2,تبع,"""Non traduit pour le moment"""
فنتبع,2,تبع,"""Non traduit pour le moment"""
متبعون,2,تبع,"""Non traduit pour le moment"""
تبعوا,1,تبع,ils suivraient
فاتباع,1,تبع,alors un suivi sera assuré
يتبعها,1,تبع,qui est suivie par
اتبعن,1,تبع,"me suivent."""
واتبعنا,1,تبع,et nous avons suivi
اتبعوك,1,تبع,te suivent
لاتبعنكم,1,تبع,"assurément nous vous aurions suivis."""
لاتبعتم,1,تبع,vous auriez certainement suivi
اتباع,1,تبع,la sujétion à
اتبعتم,1,تبع,vous suivez
واتبعوه,1,تبع,et suivez-le
يتبعوكم,1,تبع,ils vous suivront.
لاتبعوك,1,تبع,"""Non traduit pour le moment"""
اتبعوهم,1,تبع,"""Non traduit pour le moment"""
تتبعان,1,تبع,"""Non traduit pour le moment"""
واتبعت,1,تبع,"""Non traduit pour le moment"""
اتبعنى,1,تبع,"""Non traduit pour le moment"""
تبعنى,1,تبع,"""Non traduit pour le moment"""
ونتبع,1,تبع,"""Non traduit pour le moment"""
تبيعا,1,تبع,"""Non traduit pour le moment"""
أتبعك,1,تبع,"""Non traduit pour le moment"""
اتبعتنى,1,تبع,"""Non traduit pour le moment"""
فأتبع,1,تبع,"""Non traduit pour le moment"""
فاتبعنى,1,تبع,"""Non traduit pour le moment"""
تتبعن,1,تبع,"""Non traduit pour le moment"""
فأتبعنا,1,تبع,"""Non traduit pour le moment"""
التبعين,1,تبع,"""Non traduit pour le moment"""
فأتبعوهم,1,تبع,"""Non traduit pour le moment"""
واتبعك,1,تبع,"""Non traduit pour le moment"""
يتبعهم,1,تبع,"""Non traduit pour le moment"""
اتبعكما,1,تبع,"""Non traduit pour le moment"""
وأتبعنهم,1,تبع,"""Non traduit pour le moment"""
أتبعه,1,تبع,"""Non traduit pour le moment"""
اتبعون,1,تبع,"""Non traduit pour le moment"""
واتبعون,1,تبع,"""Non traduit pour le moment"""
فاتبعها,1,تبع,"""Non traduit pour le moment"""
نتبعكم,1,تبع,"""Non traduit pour le moment"""
تتبعونا,1,تبع,"""Non traduit pour le moment"""
واتبعتهم,1,تبع,"""Non traduit pour le moment"""
نتبعه,1,تبع,"""Non traduit pour le moment"""
فاتبع,1,تبع,alors suis donc
نتبعهم,1,تبع,Nous les avons fait suivre par
تتبعها,1,تبع,le suivra
تجرة,6,تجر,une transaction
تجرتهم,1,تجر,leur commerce
وتجرة,1,تجر,"""Non traduit pour le moment"""
التجرة,1,تجر,la transaction.
تحتها,36,تحت,en dessous de lui
تحت,7,تحت,en-dessous de
تحتهم,5,تحت,en dessous d'eux.
تحته,1,تحت,"""Non traduit pour le moment"""
تحتك,1,تحت,"""Non traduit pour le moment"""
تحتى,1,تحت,"""Non traduit pour le moment"""
تراب,7,ترب,de la terre
ترابا,6,ترب,poussière
تربا,3,ترب,poussière!
أترابا,2,ترب,enrichies.
التراب,1,ترب,"""Non traduit pour le moment"""
أتراب,1,ترب,"""Non traduit pour le moment"""
والترائب,1,ترب,et les viscères.
متربة,1,ترب,le dénuement.
مترفوها,2,ترف,"""Non traduit pour le moment"""
أترفوا,1,ترف,"""Non traduit pour le moment"""
مترفيها,1,ترف,"""Non traduit pour le moment"""
أترفتم,1,ترف,"""Non traduit pour le moment"""
وأترفنهم,1,ترف,"""Non traduit pour le moment"""
مترفيهم,1,ترف,"""Non traduit pour le moment"""
مترفين,1,ترف,"""Non traduit pour le moment"""
ترك,12,ترك,il laisse
وتركنا,7,ترك,et nous avons laissé
تركوا,2,ترك,ils laissent
تركن,2,ترك,elles ont laissés / elles ont quittés
تركتم,2,ترك,vous laissez
تركت,2,ترك,"""Non traduit pour le moment"""
وتركهم,1,ترك,et il les laisse
فتركه,1,ترك,qui le laisse
وتركتم,1,ترك,et vous avez laissé 
تتركه,1,ترك,"si vous le laisse,"
تتركوا,1,ترك,"""Non traduit pour le moment"""
تارك,1,ترك,"""Non traduit pour le moment"""
بتاركى,1,ترك,"""Non traduit pour le moment"""
نترك,1,ترك,"""Non traduit pour le moment"""
أتتركون,1,ترك,"""Non traduit pour le moment"""
يتركوا,1,ترك,"""Non traduit pour le moment"""
تركنا,1,ترك,"""Non traduit pour le moment"""
لتاركوا,1,ترك,"""Non traduit pour le moment"""
واترك,1,ترك,"""Non traduit pour le moment"""
تركنها,1,ترك,"""Non traduit pour le moment"""
تركتموها,1,ترك,que vous les laissiez
وتركوك,1,ترك,et ils te laissent
يترك,1,ترك,il sera laissé
تسع,3,تسع,"""Non traduit pour le moment"""
تسعة,2,تسع,neuf
تسعا,1,تسع,"""Non traduit pour le moment"""
وتسعون,1,تسع,"""Non traduit pour le moment"""
فتعسا,1,تعس,"""Non traduit pour le moment"""
تفثهم,1,تفث,"""Non traduit pour le moment"""
أتقن,1,تقن,"""Non traduit pour le moment"""
وتله,1,تلل,"""Non traduit pour le moment"""
تتلى,16,تلو,sont récités
يتلوا,7,تلو,qui récite
يتلى,7,تلو,est récité
يتلون,5,تلو,lisent
واتل,5,تلو,Et récite
تتلوا,4,تلو,était récité par
نتلوها,3,تلو,Nous les récitons
تتلون,1,تلو,récitez
يتلونه,1,تلو,qui le lisent
تلاوته,1,تلو,"sa lecture,"
نتلوه,1,تلو,ce que nous récitons
فاتلوها,1,تلو,puis lisez-la
أتل,1,تلو,que je (vous) récite
تليت,1,تلو,est récité
تلوته,1,تلو,l'aurait récité
ويتلوه,1,تلو,"""Non traduit pour le moment"""
لتتلوا,1,تلو,"""Non traduit pour le moment"""
سأتلوا,1,تلو,"""Non traduit pour le moment"""
أتلوا,1,تلو,"""Non traduit pour le moment"""
نتلوا,1,تلو,"""Non traduit pour le moment"""
اتل,1,تلو,"""Non traduit pour le moment"""
فالتليت,1,تلو,"""Non traduit pour le moment"""
تلىها,1,تلو,elle le suit.
يتم,3,تمم,soit accompli
وتمت,3,تمم,Et a été parachevée
وليتم,2,تمم,et à ce qu'il parachève
ويتم,2,تمم,"""Non traduit pour le moment"""
فأتمهن,1,تمم,"et qu'il les exécuta,"
ولأتم,1,تمم,et afin que je parachève
أتموا,1,تمم,effectuez
وأتموا,1,تمم,Et complètez
وأتممت,1,تمم,et j'ai accompli
تماما,1,تمم,parachevée
وأتممنها,1,تمم,et nous les avons complétées
فتم,1,تمم,afin que soit completé
فأتموا,1,تمم,"""Non traduit pour le moment"""
أتمها,1,تمم,"""Non traduit pour le moment"""
أتممت,1,تمم,"""Non traduit pour le moment"""
أتمم,1,تمم,parfait
التنور,2,تنور,"""Non traduit pour le moment"""
تاب,12,توب,se repent
تابوا,10,توب,se repentent
يتوب,9,توب,il fait accéptation du repentir
التواب,6,توب,"L'Agréant du repentir,"
فتاب,5,توب,afin d'accorder le repentir
توبوا,5,توب,reviens repentant
التوبة,4,توب,la repentance acceptée
توابا,3,توب,"Rédempteur,"
يتوبون,3,توب,ils se repentent
ويتوب,3,توب,et afin qu'il agrée le repentir
وتب,2,توب,et amenes à résipiscence
تبتم,2,توب,vous vous repentez
توبة,2,توب,en repentance
يتوبوا,2,توب,"ils se repentent,"
تواب,2,توب,"""Non traduit pour le moment"""
فتوبوا,1,توب,alors repentez-vous
أتوب,1,توب,j'accepte le repentir
التوبين,1,توب,les repentants
توبتهم,1,توب,leur repentir
تابا,1,توب,tous deux se repentent
التئبون,1,توب,"""Non traduit pour le moment"""
ليتوبوا,1,توب,"""Non traduit pour le moment"""
متاب,1,توب,"""Non traduit pour le moment"""
وتوبوا,1,توب,"""Non traduit pour le moment"""
متابا,1,توب,"""Non traduit pour le moment"""
التوب,1,توب,"""Non traduit pour le moment"""
يتب,1,توب,"""Non traduit pour le moment"""
وتاب,1,توب,et qu'a accueilli votre repentir
تتوبا,1,توب,toutes deux vous revenez repentantes
تئبت,1,توب,"repentantes,"
تارة,2,تور,"""Non traduit pour le moment"""
تترا,1,تور,"""Non traduit pour le moment"""
والتين,1,تين,Par la figue
يتيهون,1,تيه,ils erreront sans but
ويثبت,3,ثبت,et qu'il raffermisse
وثبت,2,ثبت,et raffermit
وتثبيتا,1,ثبت,et par constance
تثبيتا,1,ثبت,comme ancrage.
ثبات,1,ثبت,en preux déterminé
فثبتوا,1,ثبت,renforcez donc
ليثبتوك,1,ثبت,"pour te neutraliser,"
فاثبتوا,1,ثبت,soyez donc fermes
نثبت,1,ثبت,"""Non traduit pour le moment"""
ثابت,1,ثبت,"""Non traduit pour le moment"""
يثبت,1,ثبت,"""Non traduit pour le moment"""
الثابت,1,ثبت,"""Non traduit pour le moment"""
ثبوتها,1,ثبت,"""Non traduit pour le moment"""
ليثبت,1,ثبت,"""Non traduit pour le moment"""
ثبتنك,1,ثبت,"""Non traduit pour le moment"""
لنثبت,1,ثبت,"""Non traduit pour le moment"""
ثبورا,4,ثبر,la damnation & l'anéantissement.
مثبورا,1,ثبر,"""Non traduit pour le moment"""
فثبطهم,1,ثبط,"""Non traduit pour le moment"""
ثجاجا,1,ثجج,se déversant abondamment.
يثخن,1,ثخن,il ai lutté avec acharnement
أثخنتموهم,1,ثخن,"""Non traduit pour le moment"""
تثريب,1,ثرب,"""Non traduit pour le moment"""
يثرب,1,ثرب,"""Non traduit pour le moment"""
الثرى,1,ثري,"""Non traduit pour le moment"""
ثعبان,2,ثعب,un serpent
ثاقب,1,ثقب,"""Non traduit pour le moment"""
الثاقب,1,ثقب,vive.
ثقفتموهم,2,ثقف,"vous les trouviez,"
ثقفوا,2,ثقف,ils se trouveront
تثقفنهم,1,ثقف,vous les dominez
يثقفوكم,1,ثقف,ils prennent l’ascendant sur vous
مثقال,8,ثقل,du poids
ثقلت,4,ثقل,est lourde
أثقالهم,2,ثقل,"""Non traduit pour le moment"""
مثقلون,2,ثقل,(sont) chargés?
ثقيلا,2,ثقل,lourdes.
ثقالا,1,ثقل,"massifs,"
أثقلت,1,ثقل,"elle évolue en densité,"
اثاقلتم,1,ثقل,"""Non traduit pour le moment"""
وثقالا,1,ثقل,"""Non traduit pour le moment"""
الثقال,1,ثقل,"""Non traduit pour le moment"""
أثقالكم,1,ثقل,"""Non traduit pour le moment"""
وأثقالا,1,ثقل,"""Non traduit pour le moment"""
مثقلة,1,ثقل,"""Non traduit pour le moment"""
الثقلان,1,ثقل,les deux corps gravitationnels.
أثقالها,1,ثقل,ses charges.
ثلثة,11,ثلث,trois
ثلث,6,ثلث,trois
وثلث,2,ثلث,"ou bien trois,"
الثلث,2,ثلث,un tiers.
بثلثة,1,ثلث,par trois
ثلثا,1,ثلث,deux tiers
الثلثان,1,ثلث,les deux tiers
ثالث,1,ثلث,le troisième de
ثلثين,1,ثلث,de trente
الثلثة,1,ثلث,"""Non traduit pour le moment"""
بثالث,1,ثلث,"avec un troisième,"
ثلثون,1,ثلث,trente
الثالثة,1,ثلث,"""Non traduit pour le moment"""
ثلثى,1,ثلث,deux tiers de
وثلثه,1,ثلث,et un tiers de cela
ثلة,2,ثلل,Une multitude
وثلة,1,ثلل,"""Non traduit pour le moment"""
ثم,340,ثم,ensuite
فثم,1,ثم,alors là-bas (il y aura)
أثم,1,ثم,Puis
الثمرت,11,ثمر,les fruits
ثمرت,4,ثمر,"""Non traduit pour le moment"""
ثمره,3,ثمر,ses fruits
أثمر,2,ثمر,cela produit des fruits
ثمرة,1,ثمر,fruits
والثمرت,1,ثمر,et les bénéfices.
ثمر,1,ثمر,"""Non traduit pour le moment"""
بثمره,1,ثمر,"""Non traduit pour le moment"""
ثمنا,10,ثمن,(contre) un prix
ثمنية,3,ثمن,Huit
الثمن,1,ثمن,le huitième
بثمن,1,ثمن,"""Non traduit pour le moment"""
وثامنهم,1,ثمن,"""Non traduit pour le moment"""
